"WOCHENTAG","DATUM","VON","BIS","DAUER_IN_MINUTEN","LV_NUMMER","TITEL","LV_ART","LV_GRUPPE","ORT","EREIGNIS_TYP","TERMIN_TYP","VORTRAGENDER_KONTAKTPERSON","ANMERKUNG","INTERNE_BEMERKUNG"
"MI","28.10.2020","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","04.11.2020","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","11.11.2020","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","18.11.2020","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","25.11.2020","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","02.12.2020","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","09.12.2020","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","16.12.2020","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","06.01.2021","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","13.01.2021","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","20.01.2021","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","27.01.2021","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","03.02.2021","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"MI","10.02.2021","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
